,Name,CardID,Rarity,Market Price,Buy List Price,Listed Median
0,Acclaimed Contender,,R,0.36,0.1,0.49
1,Acclaimed Contender (Extended Art),,R,2.38,2.26,3.52
2,"Alela, Artful Provocateur",,M,8.3,7.56,8.3
3,All That Glitters,,U,0.21,0.01,0.25
4,Animating Faerie,,U,0.05,,0.2
5,Animating Faerie (Showcase),,U,0.16,0.02,0.34
6,Arcane Signet,,C,9.65,5.46,10.0
7,Arcanist's Owl,,U,0.07,,0.2
8,Archon of Absolution,,U,0.03,0.2,0.22
9,Ardenvale Paladin,,C,0.02,,0.15
10,Ardenvale Tactician,,C,0.04,,0.15
11,Ardenvale Tactician (Showcase),,C,0.42,0.08,0.68
12,"Ayara, First of Locthwain",,R,1.25,0.41,1.46
13,"Ayara, First of Locthwain (Extended Art)",,R,7.57,4.82,8.7
14,Bake into a Pie,,C,0.04,,0.15
15,Banish into Fable,,R,0.48,0.97,0.81
16,Barge In,,C,0.01,,0.15
17,Barrow Witches,,C,0.02,,0.15
18,Bartered Cow,,C,0.05,,0.15
19,Beanstalk Giant,,U,0.15,,0.25
20,Beanstalk Giant (Showcase),,U,0.32,0.12,0.43
21,Bear // Food (15) Double-sided Token,,T,0.83,0.18,
22,Bear // Food (16) Double-sided Token,,T,1.06,0.31,
23,Bear // Food (17) Double-sided Token,,T,0.38,0.03,
24,Bear // Food (18) Double-sided Token,,T,0.56,0.06,
25,Bear Token,,T,0.07,,0.15
26,Belle of the Brawl,,U,0.05,0.01,0.2
27,Beloved Princess,,C,0.04,,0.15
28,Blacklance Paragon,,R,0.46,0.18,0.58
29,Blacklance Paragon (Extended Art),,R,2.29,1.77,3.49
30,Bloodhaze Wolverine,,C,0.03,,0.15
31,Blow Your House Down,,C,0.03,,0.15
32,Boar // Food (15) Double-sided Token,,T,0.26,,
33,Boar // Food (16) Double-sided Token,,T,0.87,0.19,
34,Boar // Food (17) Double-sided Token,,T,0.58,0.22,
35,Boar // Food (18) Double-sided Token,,T,0.44,0.07,
36,Boar Token,,T,0.04,,0.14
37,Bog Naughty,,U,0.02,0.01,0.2
38,Bonecrusher Giant,,R,2.34,0.84,2.49
39,Bonecrusher Giant (Showcase),,R,3.58,0.9,3.31
40,Bramblefort Fink,,U,0.11,,0.25
41,Brazen Borrower,,M,24.4,8.66,34.87
42,Brazen Borrower (Showcase),,M,37.38,15.9,49.93
43,Brimstone Trebuchet,,C,0.01,,0.15
44,Burning-Yard Trainer,,U,0.02,,0.2
45,Castle Ardenvale,,R,1.13,0.22,0.99
46,Castle Ardenvale (Extended Art),,R,4.8,2.59,5.49
47,Castle Embereth,,R,1.01,0.29,1.04
48,Castle Embereth (Extended Art),,R,3.9,2.2,4.7
49,Castle Garenbrig,,R,1.73,0.66,1.79
50,Castle Garenbrig (Extended Art),,R,7.69,5.54,9.0
51,Castle Locthwain,,R,5.25,0.87,4.03
52,Castle Locthwain (Extended Art),,R,13.61,5.98,15.2
53,Castle Vantress,,R,1.84,0.64,1.96
54,Castle Vantress (Extended Art),,R,9.04,5.65,9.56
55,Cauldron Familiar,,U,0.38,0.07,0.35
56,Cauldron's Gift,,U,0.03,,0.21
57,Charmed Sleep,,C,0.05,,0.15
58,Charming Prince,,R,0.95,0.38,1.0
59,Charming Prince (Extended Art),,R,4.49,3.59,5.5
60,Chittering Witch,,R,1.63,0.79,2.0
61,"Chulane, Teller of Tales",,M,7.81,7.61,7.99
62,Clackbridge Troll,,R,0.35,0.16,0.5
63,Clackbridge Troll (Extended Art),,R,1.95,1.83,2.99
64,Claim the Firstborn,,U,0.08,,0.25
65,Clockwork Servant,,U,0.02,,0.22
66,Command Tower,,C,1.35,0.4,1.66
67,Corridor Monitor,,C,0.05,0.07,0.15
68,Covetous Urge,,U,0.04,0.2,0.2
69,Crashing Drawbridge,,C,0.08,,0.17
70,Crystal Slipper,,C,0.03,,0.15
71,Curious Pair,,C,0.03,,0.15
72,Curious Pair (Showcase),,C,0.32,0.09,0.54
73,Dance of the Manse,,R,0.49,0.31,0.83
74,Dance of the Manse (Extended Art),,R,4.09,2.23,4.99
75,Deafening Silence,,U,0.26,0.11,0.5
76,Deathless Knight,,U,0.06,0.01,0.2
77,Didn't Say Please,,C,0.04,,0.15
78,Doom Foretold,,R,0.35,0.24,0.54
79,Doom Foretold (Extended Art),,R,2.98,1.43,4.04
80,Drown in the Loch,,U,1.25,0.53,1.5
81,Dwarf // Food (15) Double-sided Token,,T,1.5,0.24,
82,Dwarf // Food (16) Double-sided Token,,T,1.31,0.17,
83,Dwarf // Food (17) Double-sided Token,,T,0.65,0.23,
84,Dwarf // Food (18) Double-sided Token,,T,1.66,0.43,
85,Dwarf Token,,T,0.04,,0.16
86,Dwarven Mine,,C,0.06,,0.15
87,Edgewall Innkeeper,,U,0.17,0.11,0.28
88,Elite Headhunter,,U,0.02,,0.2
89,Embercleave,,M,9.21,5.8,9.99
90,Embercleave (Extended Art),,M,16.62,11.75,20.7
91,Embereth Paladin,,C,0.03,,0.15
92,Embereth Shieldbreaker,,U,0.09,,0.22
93,Embereth Shieldbreaker (Showcase),,U,0.16,0.2,0.35
94,Embereth Skyblazer,,R,0.43,0.47,0.75
95,"Emblem - Garruk, Cursed Huntsman",,T,0.13,,0.25
96,"Emry, Lurker of the Loch",,R,2.98,2.4,3.7
97,"Emry, Lurker of the Loch (Extended Art)",,R,12.85,12.8,19.99
98,Enchanted Carriage,,U,0.03,,0.22
99,Epic Downfall,,U,0.06,,0.23
100,Escape to the Wilds,,R,0.19,0.08,0.34
101,Escape to the Wilds (Extended Art),,R,1.67,0.39,2.51
102,Eye Collector,,C,0.01,,0.15
103,Fabled Passage,,R,19.39,11.52,19.0
104,Fabled Passage (Extended Art),,R,32.43,21.86,42.59
105,Fae of Wishes,,R,0.83,0.36,1.05
106,Fae of Wishes (Showcase),,R,2.28,0.81,2.52
107,Faeburrow Elder,,R,1.0,0.4,1.16
108,Faeburrow Elder (Extended Art),,R,6.39,5.16,7.55
109,Faerie // Food (15) Double-sided Token,,T,0.88,0.17,
110,Faerie // Food (16) Double-sided Token,,T,1.51,0.3,
111,Faerie // Food (17) Double-sided Token,,T,1.02,0.22,
112,Faerie // Food (18) Double-sided Token,,T,1.14,0.24,
113,Faerie Formation,,R,1.89,1.57,2.82
114,Faerie Guidemother,,C,0.05,,0.15
115,Faerie Guidemother (Showcase),,C,0.64,0.11,1.04
116,Faerie Token,,T,0.31,,0.3
117,Faerie Vandal,,U,0.07,,0.23
118,Feasting Troll King,,R,0.29,0.16,0.52
119,Feasting Troll King (Extended Art),,R,1.78,1.33,3.1
120,Fell the Pheasant,,C,0.03,,0.15
121,Ferocity of the Wilds,,U,0.03,,0.2
122,Fervent Champion,,R,1.44,0.96,1.74
123,Fervent Champion (Extended Art),,R,3.51,3.49,5.3
124,Festive Funeral,,C,0.04,,0.15
125,Fierce Witchstalker,,C,0.03,,0.15
126,Fireborn Knight,,U,0.02,,0.22
127,Fires of Invention,,R,2.17,1.07,2.35
128,Fires of Invention (Extended Art),,R,7.23,5.25,8.99
129,Flaxen Intruder,,U,0.05,,0.22
130,Flaxen Intruder (Showcase),,U,0.12,0.02,0.29
131,Fling,,C,0.03,,0.15
132,Flutterfox,,C,0.03,,0.15
133,Folio of Fancies,,R,0.3,0.1,0.4
134,Folio of Fancies (Extended Art),,R,2.21,0.88,2.66
135,Food Token,,T,0.09,,0.15
136,Food Token (16),,T,0.06,,0.15
137,Food Token (17),,T,0.05,,0.15
138,Food Token (18),,T,0.06,,0.15
139,Foreboding Fruit,,C,0.03,,0.15
140,Forest,,L,0.25,,0.25
141,Forest (267),,L,0.05,,0.1
142,Forest (268),,L,0.06,,0.1
143,Forest (269),,L,0.09,,0.12
144,Forever Young,,C,0.05,,0.15
145,Fortifying Provisions,,C,0.01,,0.15
146,Foulmire Knight,,U,0.22,0.01,0.29
147,Foulmire Knight (Showcase),,U,0.43,0.05,0.55
148,Frogify,,U,0.07,,0.19
